run,index,byte,encoded,time_us,corrected,seq_num
1,0,84,84,1748287532244933,False,2000
1,1,104,104,1748287532754053,False,2001
1,2,105,105,1748287533356325,False,2002
1,3,115,115,1748287534059171,False,2003
1,4,32,32,1748287534913669,False,2004
1,5,105,105,1748287535768309,False,2005
1,6,115,115,1748287536622425,False,2006
1,7,32,32,1748287537477874,False,2007
1,8,97,97,1748287538329981,False,2008
1,9,32,32,1748287539184325,False,2009
1,10,116,116,1748287540038005,False,2010
1,11,111,111,1748287540892926,False,2011
1,12,112,112,1748287541744781,False,2012
1,13,32,32,1748287542598266,False,2013
1,14,115,115,1748287543452088,False,2014
1,15,101,101,1748287544306715,False,2015
1,16,99,99,1748287545159361,False,2016
1,17,114,114,1748287546011607,False,2017
1,18,101,101,1748287546866577,False,2018
1,19,116,116,1748287547719646,False,2019
1,20,32,32,1748287548570981,False,2020
1,21,109,109,1748287549427095,False,2021
1,22,101,101,1748287550279158,False,2022
1,23,115,115,1748287551132880,False,2023
1,24,115,115,1748287551986094,False,2024
1,25,97,97,1748287552839151,False,2025
1,26,103,103,1748287553693263,False,2026
1,27,101,101,1748287554546394,False,2027
1,28,32,32,1748287555399845,False,2028
1,29,98,98,1748287556253050,False,2029
1,30,101,101,1748287557105848,False,2030
1,31,105,105,1748287557960088,False,2031
1,32,110,110,1748287558814279,False,2032
1,33,103,103,1748287559667693,False,2033
1,34,32,32,1748287560521656,False,2034
1,35,116,116,1748287561374840,False,2035
1,36,114,114,1748287562228225,False,2036
1,37,97,97,1748287563081716,False,2037
1,38,110,110,1748287563934063,False,2038
1,39,115,115,1748287564788763,False,2039
1,40,109,109,1748287565641559,False,2040
1,41,105,105,1748287566496594,False,2041
1,42,116,116,1748287567350328,False,2042
1,43,116,116,1748287568208047,False,2043
1,44,101,101,1748287569057301,False,2044
1,45,100,100,1748287569910270,False,2045
1,46,32,32,1748287570764326,False,2046
1,47,118,118,1748287571620115,False,2047
1,48,105,105,1748287572473753,False,2048
1,49,97,97,1748287573328187,False,2049
1,50,32,32,1748287574182491,False,2050
1,51,84,84,1748287575035317,False,2051
1,52,67,67,1748287575888756,False,2052
1,53,80,80,1748287576741851,False,2053
1,54,32,32,1748287577596087,False,2054
1,55,119,119,1748287578448715,False,2055
1,56,105,105,1748287579301252,False,2056
1,57,110,110,1748287580155079,False,2057
1,58,100,100,1748287581008887,False,2058
1,59,111,111,1748287581862347,False,2059
1,60,119,119,1748287582716277,False,2060
1,61,32,32,1748287583567862,False,2061
1,62,115,115,1748287584422042,False,2062
1,63,105,105,1748287585274741,False,2063
1,64,122,122,1748287586128105,False,2064
1,65,101,101,1748287586981586,False,2065
1,66,32,32,1748287587834136,False,2066
1,67,99,99,1748287588688721,False,2067
1,68,63,0,1748287588703908,False,2068
1,69,118,118,1748287590394815,False,2069
1,70,101,101,1748287591248687,False,2070
1,71,114,114,1748287592101383,False,2071
1,72,116,116,1748287592955605,False,2072
1,73,32,32,1748287593808231,False,2073
1,74,99,99,1748287594663896,False,2074
1,75,104,104,1748287595517400,False,2075
1,76,97,97,1748287596369922,False,2076
1,77,110,110,1748287597224084,False,2077
1,78,110,110,1748287598078805,False,2078
1,79,101,101,1748287598930604,False,2079
1,80,108,108,1748287599784707,False,2080
1,81,46,46,1748287600638836,False,2081
1,82,10,10,1748287601489828,False,2082
1,83,84,84,1748287602344469,False,2083
1,84,104,104,1748287603199392,False,2084
1,85,101,101,1748287604055364,False,2085
1,86,32,32,1748287604905919,False,2086
1,87,114,114,1748287605761676,False,2087
1,88,101,101,1748287606613576,False,2088
1,89,99,99,1748287607466112,False,2089
1,90,101,101,1748287608319295,False,2090
1,91,105,105,1748287609172187,False,2091
1,92,118,118,1748287610026550,False,2092
1,93,101,101,1748287610879888,False,2093
1,94,114,114,1748287611732626,False,2094
1,95,32,32,1748287612587978,False,2095
1,96,115,115,1748287613440003,False,2096
1,97,104,104,1748287614293046,False,2097
1,98,111,111,1748287615149048,False,2098
1,99,117,117,1748287616003335,False,2099
1,100,84,108,1748287616856994,True,2100
1,101,104,100,1748287617708998,True,2101
1,102,105,32,1748287618562882,True,2102
1,103,115,98,1748287619416942,True,2103
1,104,32,101,1748287620270709,True,2104
1,105,105,32,1748287621124867,True,2105
1,106,115,97,1748287621979567,True,2106
1,107,32,98,1748287622832011,True,2107
1,108,97,108,1748287623685914,True,2108
1,109,32,101,1748287624538256,True,2109
1,110,116,32,1748287625392623,True,2110
