run,index,byte,encoded,time_us,corrected,seq_num
1,0,84,84,1748286957008870,False,2000
1,1,104,104,1748286957524559,False,2001
1,2,105,105,1748286958074792,False,2002
1,3,115,115,1748286958677907,False,2003
1,4,32,32,1748286959380433,False,2004
1,5,105,105,1748286960235123,False,2005
1,6,115,115,1748286961089418,False,2006
1,7,32,32,1748286961942917,False,2007
1,8,97,97,1748286962794883,False,2008
1,9,32,32,1748286963648461,False,2009
1,10,116,116,1748286964503354,False,2010
1,11,111,111,1748286965356186,False,2011
1,12,112,112,1748286966209495,False,2012
1,13,32,32,1748286967062945,False,2013
1,14,115,115,1748286967918845,False,2014
1,15,101,101,1748286968771401,False,2015
1,16,99,99,1748286969625038,False,2016
1,17,114,114,1748286970477073,False,2017
1,18,101,101,1748286971330442,False,2018
1,19,116,116,1748286972183373,False,2019
1,20,32,32,1748286973037378,False,2020
1,21,109,109,1748286973890801,False,2021
1,22,101,101,1748286974744318,False,2022
1,23,115,115,1748286975597989,False,2023
1,24,63,0,1748286975614248,False,2024
1,25,97,97,1748286977304399,False,2025
1,26,103,103,1748286978158020,False,2026
1,27,101,101,1748286979012207,False,2027
1,28,32,32,1748286979866108,False,2028
1,29,98,98,1748286980718619,False,2029
1,30,101,101,1748286981572156,False,2030
1,31,105,105,1748286982426792,False,2031
1,32,110,110,1748286983279972,False,2032
1,33,103,103,1748286984132350,False,2033
1,34,32,32,1748286984986807,False,2034
1,35,116,116,1748286985838176,False,2035
1,36,114,114,1748286986692756,False,2036
1,37,97,97,1748286987546583,False,2037
1,38,110,110,1748286988399703,False,2038
1,39,115,115,1748286989252367,False,2039
1,40,109,109,1748286990105687,False,2040
1,41,105,105,1748286990959585,False,2041
1,42,116,116,1748286991813923,False,2042
1,43,116,116,1748286992666840,False,2043
1,44,101,101,1748286993520324,False,2044
1,45,100,100,1748286994375300,False,2045
1,46,32,32,1748286995227597,False,2046
1,47,118,118,1748286996082943,False,2047
1,48,105,105,1748286996935603,False,2048
1,49,97,97,1748286997790098,False,2049
1,50,32,32,1748286998644699,False,2050
1,51,84,84,1748286999497028,False,2051
1,52,67,67,1748287000351648,False,2052
1,53,80,80,1748287001204589,False,2053
1,54,32,32,1748287002058493,False,2054
1,55,119,119,1748287002911595,False,2055
1,56,105,105,1748287003764722,False,2056
1,57,110,110,1748287004619120,False,2057
1,58,100,100,1748287005471766,False,2058
1,59,111,111,1748287006324696,False,2059
1,60,119,119,1748287007179229,False,2060
1,61,63,0,1748287007189461,False,2061
1,62,115,115,1748287008886701,False,2062
1,63,105,105,1748287009738826,False,2063
1,64,122,122,1748287010591845,False,2064
1,65,101,101,1748287011445793,False,2065
1,66,32,32,1748287012299458,False,2066
1,67,99,99,1748287013151981,False,2067
1,68,111,111,1748287014006900,False,2068
1,69,118,118,1748287014861537,False,2069
1,70,101,101,1748287015713756,False,2070
1,71,114,114,1748287016566441,False,2071
1,72,116,116,1748287017420018,False,2072
1,73,32,32,1748287018274504,False,2073
1,74,99,99,1748287019129886,False,2074
1,75,104,104,1748287019984457,False,2075
1,76,97,97,1748287020838606,False,2076
1,77,110,110,1748287021692860,False,2077
1,78,110,110,1748287022546096,False,2078
1,79,101,101,1748287023399054,False,2079
