run,index,byte,encoded,time_us
1,185,84,84,1747910134832723
1,186,101,101,1747910135456328
1,187,115,115,1747910136112921
1,188,116,116,1747910136865057
1,189,105,105,1747910137722242
1,190,110,110,1747910137725929
1,191,103,103,1747910138685603
1,192,32,32,1747910138788368
1,193,49,49,1747910138792798
1,194,45,45,1747910139222771
1,195,50,50,1747910139510789
1,196,45,45,1747910139690772
1,197,51,51,1747910140312488
1,198,46,46,1747910140399472
1,199,46,46,1747910140672151
1,200,46,46,1747910140743436
1,201,32,32,1747910141500370
1,202,84,84,1747910141567369
1,203,114,114,1747910141730430
1,204,97,97,1747910142037460
1,205,110,110,1747910142855311
1,206,115,115,1747910143284259
1,207,102,102,1747910143383050
1,208,101,101,1747910144148087
1,209,114,114,1747910144371215
1,210,32,32,1747910144900431
1,211,99,99,1747910145235616
1,212,111,111,1747910146051284
1,213,109,109,1747910146097991
1,214,112,112,1747910146712411
1,215,108,108,1747910147753363
1,216,101,101,1747910148892559
1,217,116,116,1747910149046894
1,218,101,101,1747910149298356
1,219,33,33,1747910149362015
1,220,32,32,1747910149374871
1,221,4,4,1747910149606800
