run,index,ascii,time_us
1,0,73,1744375998534526
1,1,110,1744375998585034
1,2,32,1744375998745395
1,3,116,1744375998767614
1,4,104,1744375998913983
1,5,101,1744375998995013
1,6,32,1744375999094349
1,7,79,1744375999166615
1,8,117,1744375999415510
1,9,116,1744375999542468
1,10,101,1744375999636050
1,11,114,1744375999664200
1,12,32,1744375999827629
1,13,82,1744375999879032
1,14,105,1744375999890931
1,15,109,1744375999918027
1,16,44,1744376000100981
1,17,32,1744376000136443
1,18,115,1744376000212928
1,19,109,1744376000573631
1,20,117,1744376000721481
1,21,103,1744376000868737
1,22,103,1744376001091773
1,23,108,1744376001138995
1,24,101,1744376001391158
1,25,114,1744376001691736
1,26,32,1744376001700911
1,27,75,1744376001809935
1,28,101,1744376001854100
1,29,108,1744376001856331
1,30,110,1744376001864164
1,31,32,1744376002217154
1,32,68,1744376002407809
1,33,97,1744376002485736
1,34,114,1744376002628974
1,35,111,1744376002739361
1,36,32,1744376002743866
1,37,112,1744376003012683
1,38,105,1744376003140535
1,39,108,1744376003275173
1,40,111,1744376003319087
1,41,116,1744376003337418
1,42,115,1744376003549704
1,43,32,1744376003590931
1,44,116,1744376003814938
1,45,104,1744376003933949
1,46,101,1744376004023073
1,47,32,1744376004219271
1,48,83,1744376004477107
1,49,104,1744376004646009
1,50,97,1744376004888071
1,51,100,1744376004912722
1,52,111,1744376005165826
1,53,119,1744376005378987
1,54,32,1744376005435781
1,55,76,1744376005469179
1,56,97,1744376005506094
1,57,110,1744376005532383
1,58,99,1744376005565500
1,59,101,1744376005620195
1,60,32,1744376005857664
1,61,116,1744376005871440
1,62,104,1744376006014987
1,63,114,1744376006288781
1,64,111,1744376006338432
1,65,117,1744376006385012
1,66,103,1744376006411906
1,67,104,1744376006444279
1,68,32,1744376006576724
1,69,97,1744376006734864
1,70,115,1744376006871774
1,71,116,1744376007173144
1,72,101,1744376007247469
1,73,114,1744376007275164
1,74,111,1744376007407401
1,75,105,1744376007751569
1,76,100,1744376007894395
1,77,32,1744376007911106
1,78,102,1744376007920894
1,79,105,1744376007944827
1,80,101,1744376008116352
1,81,108,1744376008257628
1,82,100,1744376008276051
1,83,115,1744376008299097
1,84,46,1744376008312774
1,85,32,1744376008318547
1,86,72,1744376008326220
1,87,105,1744376008583306
1,88,100,1744376008603476
1,89,100,1744376008655539
1,90,101,1744376008827170
1,91,110,1744376008907776
1,92,32,1744376008970573
1,93,111,1744376008981280
1,94,110,1744376009123049
1,95,98,1744376009609050
1,96,111,1744376009819577
1,97,97,1744376009919123
1,98,114,1744376010057099
1,99,100,1744376010317097
1,100,32,1744376010495220
1,101,108,1744376010636799
1,102,105,1744376011048054
1,103,101,1744376011117888
1,104,115,1744376011295367
1,105,32,1744376011303889
1,106,97,1744376011332968
1,107,32,1744376011359282
1,108,107,1744376011398951
1,109,121,1744376011425505
1,110,98,1744376011526083
1,111,101,1744376011632093
1,112,114,1744376011987996
1,113,32,1744376012067473
1,114,115,1744376012079759
1,115,104,1744376012169743
1,116,97,1744376012230880
1,117,114,1744376012419423
1,118,100,1744376012419899
1,119,226,1744376012511758
1,120,128,1744376012538792
1,121,148,1744376012605436
1,122,105,1744376012642120
1,123,116,1744376012662525
1,124,115,1744376012667759
1,125,32,1744376012787396
1,126,103,1744376012889076
1,127,108,1744376012909727
1,128,111,1744376013010418
1,129,119,1744376013051347
1,130,32,1744376013075954
1,131,97,1744376013192490
1,132,119,1744376013222401
1,133,97,1744376013232346
1,134,107,1744376013442482
1,135,101,1744376013452720
1,136,110,1744376013497792
1,137,115,1744376013587943
1,138,32,1744376013622950
1,139,74,1744376013657784
1,140,117,1744376013679122
1,141,110,1744376013679675
1,142,111,1744376013720386
1,143,44,1744376013778158
1,144,32,1744376014029681
1,145,97,1744376014150090
1,146,32,1744376014266085
1,147,115,1744376014415108
1,148,116,1744376014663336
1,149,111,1744376014686395
1,150,119,1744376014765995
1,151,97,1744376015001535
1,152,119,1744376015208865
1,153,97,1744376015294997
1,154,121,1744376015327294
1,155,32,1744376015395298
1,156,116,1744376015584644
1,157,105,1744376015619639
1,158,101,1744376015735056
1,159,100,1744376015753077
1,160,32,1744376015821051
1,161,116,1744376015950063
1,162,111,1744376015975638
1,163,32,1744376015989405
1,164,74,1744376016034516
1,165,101,1744376016304301
1,166,100,1744376016402535
1,167,105,1744376016573204
1,168,32,1744376016614968
1,169,108,1744376016728128
1,170,111,1744376016758326
1,171,114,1744376016767800
1,172,101,1744376016872273
1,173,46,1744376016906511
1,174,32,1744376016916248
1,175,79,1744376017188974
1,176,110,1744376017220792
1,177,32,1744376017364435
1,178,66,1744376017381762
1,179,97,1744376017480339
1,180,115,1744376017503942
1,181,116,1744376017559752
1,182,105,1744376017610421
1,183,118,1744376017650044
1,184,97,1744376017754986
1,185,114,1744376017796714
1,186,44,1744376017812509
1,187,32,1744376017813937
1,188,116,1744376017964226
1,189,104,1744376017976685
1,190,101,1744376018104668
1,191,32,1744376018164549
1,192,69,1744376018288009
1,193,109,1744376018352465
1,194,112,1744376018363697
1,195,105,1744376018412813
1,196,114,1744376018520933
1,197,101,1744376018535266
1,198,32,1744376018540995
1,199,115,1744376018692962
1,200,116,1744376018751704
1,201,105,1744376018841043
1,202,114,1744376018916747
1,203,115,1744376018961966
1,204,46,1744376019181791
1,205,32,1744376019200767
1,206,65,1744376019275806
1,207,32,1744376019366742
1,208,114,1744376019544191
1,209,101,1744376019554988
1,210,115,1744376019575623
1,211,105,1744376019602621
1,212,115,1744376019637327
1,213,116,1744376019848495
1,214,97,1744376020017365
1,215,110,1744376020021296
1,216,99,1744376020172271
1,217,101,1744376020353328
1,218,32,1744376020378583
1,219,114,1744376020475396
1,220,105,1744376020587866
1,221,115,1744376020715135
1,222,101,1744376020766632
1,223,115,1744376020823901
1,224,46,1744376020872816
1,225,32,1744376020890096
1,226,85,1744376020892026
1,227,110,1744376020940378
1,228,107,1744376021075090
1,229,110,1744376021180175
1,230,111,1744376021432452
1,231,119,1744376021598587
1,232,110,1744376021637061
1,233,32,1744376021637825
1,234,115,1744376021823996
1,235,105,1744376021927104
1,236,103,1744376021978897
1,237,110,1744376022106985
1,238,97,1744376022220451
1,239,108,1744376022223959
1,240,115,1744376022339921
1,241,32,1744376022436804
1,242,114,1744376022520856
1,243,101,1744376022521578
1,244,100,1744376022552194
1,245,105,1744376022747319
1,246,114,1744376022791167
1,247,101,1744376023002553
1,248,99,1744376023040366
1,249,116,1744376023061421
1,250,32,1744376023132317
1,251,116,1744376023246408
1,252,104,1744376023267866
1,253,101,1744376023390531
1,254,32,1744376023469955
1,255,115,1744376023741361
1,256,104,1744376024002683
1,257,105,1744376024274094
1,258,112,1744376024354682
1,259,46,1744376024515623
1,260,32,1744376024606081
1,261,226,1744376025142319
1,262,128,1744376025181742
1,263,156,1744376025270965
1,264,84,1744376025413578
1,265,104,1744376025572250
1,266,97,1744376025665155
1,267,116,1744376025683611
1,268,226,1744376025884206
1,269,128,1744376025993767
1,270,153,1744376026089031
1,271,115,1744376026193990
1,272,32,1744376026210220
1,273,110,1744376026214721
1,274,111,1744376026287935
1,275,116,1744376026360495
1,276,32,1744376026428005
1,277,117,1744376026433178
1,278,115,1744376026482279
1,279,46,1744376026542878
1,280,46,1744376026598170
1,281,46,1744376026653583
1,282,226,1744376026780239
1,283,128,1744376026948323
1,284,157,1744376027007713
1,285,10,1744376027541096
