run,index,ascii,time_us
1,0,73,1744375980616805
1,1,110,1744375980622017
1,2,32,1744375980638194
1,3,116,1744375980640693
1,4,104,1744375980655711
1,5,101,1744375980664567
1,6,32,1744375980676983
1,7,79,1744375980684417
1,8,117,1744375980709456
1,9,116,1744375980723126
1,10,101,1744375980732715
1,11,114,1744375980735737
1,12,32,1744375980753129
1,13,82,1744375980758752
1,14,105,1744375980762037
1,15,109,1744375980764799
1,16,44,1744375980783360
1,17,32,1744375980791133
1,18,115,1744375980799057
1,19,109,1744375980835427
1,20,117,1744375980851509
1,21,103,1744375980866465
1,22,103,1744375980889620
1,23,108,1744375980895158
1,24,101,1744375980921209
1,25,114,1744375980951281
1,26,32,1744375980952443
1,27,75,1744375980963521
1,28,101,1744375980968189
1,29,108,1744375980968638
1,30,110,1744375980971541
1,31,32,1744375981007001
1,32,68,1744375981027107
1,33,97,1744375981035541
1,34,114,1744375981050201
1,35,111,1744375981061564
1,36,32,1744375981062085
1,37,112,1744375981089105
1,38,105,1744375981102303
1,39,108,1744375981115944
1,40,111,1744375981121216
1,41,116,1744375981123261
1,42,115,1744375981144707
1,43,32,1744375981149250
1,44,116,1744375981172190
1,45,104,1744375981184344
1,46,101,1744375981196157
1,47,32,1744375981215942
1,48,83,1744375981241923
1,49,104,1744375981259468
1,50,97,1744375981283935
1,51,100,1744375981286613
1,52,111,1744375981312047
1,53,119,1744375981334953
1,54,32,1744375981340728
1,55,76,1744375981345478
1,56,97,1744375981349302
1,57,110,1744375981352892
1,58,99,1744375981356741
1,59,101,1744375981363454
1,60,32,1744375981387522
1,61,116,1744375981389284
1,62,104,1744375981403947
1,63,114,1744375981431480
1,64,111,1744375981437066
1,65,117,1744375981442766
1,66,103,1744375981446220
1,67,104,1744375981450538
1,68,32,1744375981464094
1,69,97,1744375981480102
1,70,115,1744375981494080
1,71,116,1744375981524373
1,72,101,1744375981533099
1,73,114,1744375981536579
1,74,111,1744375981551065
1,75,105,1744375981585995
1,76,100,1744375981600777
1,77,32,1744375981602716
1,78,102,1744375981603988
1,79,105,1744375981606553
1,80,101,1744375981624016
1,81,108,1744375981638939
1,82,100,1744375981640972
1,83,115,1744375981645916
1,84,46,1744375981647712
1,85,32,1744375981648427
1,86,72,1744375981649373
1,87,105,1744375981675239
1,88,100,1744375981677546
1,89,100,1744375981683917
1,90,101,1744375981701288
1,91,110,1744375981709607
1,92,32,1744375981719025
1,93,111,1744375981722140
1,94,110,1744375981737940
1,95,98,1744375981786965
1,96,111,1744375981808956
1,97,97,1744375981819827
1,98,114,1744375981834421
1,99,100,1744375981861238
1,100,32,1744375981879318
1,101,108,1744375981893319
1,102,105,1744375981936147
1,103,101,1744375981944358
1,104,115,1744375981964892
1,105,32,1744375981969322
1,106,97,1744375981972455
1,107,32,1744375981975377
1,108,107,1744375981979551
1,109,121,1744375981984172
1,110,98,1744375981995026
1,111,101,1744375982006072
1,112,114,1744375982043395
1,113,32,1744375982052304
1,114,115,1744375982054522
1,115,104,1744375982064396
1,116,97,1744375982071629
1,117,114,1744375982094366
1,118,100,1744375982097946
1,119,226,1744375982107294
1,120,128,1744375982112178
1,121,148,1744375982121524
1,122,105,1744375982126393
1,123,116,1744375982129575
1,124,115,1744375982130297
1,125,32,1744375982142495
1,126,103,1744375982157319
1,127,108,1744375982159503
1,128,111,1744375982173443
1,129,119,1744375982177695
1,130,32,1744375982180178
1,131,97,1744375982193160
1,132,119,1744375982196390
1,133,97,1744375982197735
1,134,107,1744375982220335
1,135,101,1744375982221782
1,136,110,1744375982229022
1,137,115,1744375982240488
1,138,32,1744375982244718
1,139,74,1744375982248308
1,140,117,1744375982252264
1,141,110,1744375982252451
1,142,111,1744375982258278
1,143,44,1744375982264206
1,144,32,1744375982290505
1,145,97,1744375982304559
1,146,32,1744375982317023
1,147,115,1744375982332717
1,148,116,1744375982357702
1,149,111,1744375982360611
1,150,119,1744375982368712
1,151,97,1744375982393501
1,152,119,1744375982415342
1,153,97,1744375982424656
1,154,121,1744375982428136
1,155,32,1744375982437973
1,156,116,1744375982457028
1,157,105,1744375982460896
1,158,101,1744375982472648
1,159,100,1744375982474540
1,160,32,1744375982481507
1,161,116,1744375982494561
1,162,111,1744375982497219
1,163,32,1744375982498654
