run,index,ascii,time_us
1,0,73,1744376085704090
1,1,110,1744376085905529
1,2,32,1744376086546443
1,3,116,1744376086634683
1,4,104,1744376087220496
1,5,101,1744376087543625
1,6,32,1744376087940316
1,7,79,1744376088228633
1,8,117,1744376089220508
1,9,116,1744376089725983
1,10,101,1744376090099722
1,11,114,1744376090211214
1,12,32,1744376090863726
1,13,82,1744376091068891
1,14,105,1744376091115165
1,15,109,1744376091213826
1,16,44,1744376091944919
1,17,32,1744376092085570
1,18,115,1744376092382970
1,19,109,1744376093824615
1,20,117,1744376094414985
1,21,103,1744376095002938
1,22,103,1744376095891752
1,23,108,1744376096065759
1,24,101,1744376097071449
1,25,114,1744376098264829
1,26,32,1744376098301385
1,27,75,1744376098737212
1,28,101,1744376098909095
1,29,108,1744376098917720
1,30,110,1744376098944143
1,31,32,1744376100355721
1,32,68,1744376101117227
1,33,97,1744376101427818
1,34,114,1744376101999258
1,35,111,1744376102440153
1,36,32,1744376102456361
1,37,112,1744376103530985
1,38,105,1744376104041708
1,39,108,1744376104578446
1,40,111,1744376104753684
1,41,116,1744376104826469
1,42,115,1744376105675007
1,43,32,1744376105835735
1,44,116,1744376106731302
1,45,104,1744376107195694
1,46,101,1744376107551941
1,47,32,1744376108335029
1,48,83,1744376109366042
1,49,104,1744376110041060
1,50,97,1744376111009323
1,51,100,1744376111106755
1,52,111,1744376112117919
1,53,119,1744376112969874
1,54,32,1744376113196407
1,55,76,1744376113328967
1,56,97,1744376113476080
1,57,110,1744376113578831
1,58,99,1744376113708370
1,59,101,1744376113924193
1,60,32,1744376114873850
1,61,116,1744376114927938
1,62,104,1744376115499813
1,63,114,1744376116593499
1,64,111,1744376116787169
1,65,117,1744376116971388
1,66,103,1744376117077267
1,67,104,1744376117189640
1,68,32,1744376117716795
1,69,97,1744376118347950
1,70,115,1744376118895042
1,71,116,1744376120094333
1,72,101,1744376120389382
1,73,114,1744376120499549
1,74,111,1744376121027932
1,75,105,1744376122397563
1,76,100,1744376122968129
1,77,32,1744376123026304
1,78,102,1744376123059065
1,79,105,1744376123152953
1,80,101,1744376123838373
1,81,108,1744376124402096
1,82,100,1744376124473969
1,83,115,1744376124565554
1,84,46,1744376124619348
1,85,32,1744376124644868
1,86,72,1744376124675804
1,87,105,1744376125701903
1,88,100,1744376125781952
1,89,100,1744376125980939
1,90,101,1744376126666734
1,91,110,1744376126988516
1,92,32,1744376127229706
1,93,111,1744376127272126
1,94,110,1744376127838873
1,95,98,1744376129782057
1,96,111,1744376130622889
1,97,97,1744376131019657
1,98,114,1744376131570967
1,99,100,1744376132609308
1,100,32,1744376133320706
1,101,108,1744376133865650
1,102,105,1744376135510012
1,103,101,1744376135785276
1,104,115,1744376136494503
1,105,32,1744376136527394
1,106,97,1744376136641671
1,107,32,1744376136745951
1,108,107,1744376136898549
1,109,121,1744376137004497
1,110,98,1744376137405771
1,111,101,1744376137827163
1,112,114,1744376139249965
1,113,32,1744376139566070
1,114,115,1744376139614322
1,115,104,1744376139973708
1,116,97,1744376140213718
1,117,114,1744376140966669
1,118,100,1744376140968105
1,119,226,1744376141333291
1,120,128,1744376141440158
1,121,148,1744376141704389
1,122,105,1744376141850098
1,123,116,1744376141930962
1,124,115,1744376141947893
1,125,32,1744376142424428
1,126,103,1744376142830764
1,127,108,1744376142912643
1,128,111,1744376143307458
1,129,119,1744376143468256
1,130,32,1744376143558796
1,131,97,1744376144020760
1,132,119,1744376144139958
1,133,97,1744376144176879
1,134,107,1744376145016694
1,135,101,1744376145056208
1,136,110,1744376145236007
1,137,115,1744376145596052
1,138,32,1744376145732808
1,139,74,1744376145869353
1,140,117,1744376145953777
1,141,110,1744376145955373
1,142,111,1744376146116603
1,143,44,1744376146346209
1,144,32,1744376147351398
1,145,97,1744376147831944
1,146,32,1744376148295310
1,147,115,1744376148890920
1,148,116,1744376149883200
1,149,111,1744376149974456
1,150,119,1744376150292539
1,151,97,1744376151234025
1,152,119,1744376152062831
1,153,97,1744376152406389
1,154,121,1744376152534634
1,155,32,1744376152806132
1,156,116,1744376153562441
1,157,105,1744376153700309
1,158,101,1744376154161614
1,159,100,1744376154221920
1,160,32,1744376154493322
1,161,116,1744376155009049
1,162,111,1744376155109607
1,163,32,1744376155161574
1,164,74,1744376155340724
1,165,101,1744376156415607
1,166,100,1744376156805033
1,167,105,1744376157487170
1,168,32,1744376157650529
1,169,108,1744376158080915
1,170,111,1744376158201212
1,171,114,1744376158231490
1,172,101,1744376158648925
1,173,46,1744376158785362
1,174,32,1744376158824180
1,175,79,1744376159914602
1,176,110,1744376160038198
1,177,32,1744376160612177
1,178,66,1744376160680816
1,179,97,1744376161074101
1,180,115,1744376161167903
1,181,116,1744376161390303
1,182,105,1744376161591078
1,183,118,1744376161749268
1,184,97,1744376162156748
1,185,114,1744376162322279
1,186,44,1744376162380928
1,187,32,1744376162383267
1,188,116,1744376162979497
1,189,104,1744376163028438
1,190,101,1744376163539248
1,191,32,1744376163777972
1,192,69,1744376164270461
1,193,109,1744376164527534
1,194,112,1744376164567390
1,195,105,1744376164760994
1,196,114,1744376165189424
1,197,101,1744376165246615
1,198,32,1744376165268865
1,199,115,1744376165877203
1,200,116,1744376166111183
1,201,105,1744376166467651
1,202,114,1744376166769987
1,203,115,1744376166949938
1,204,46,1744376167828641
1,205,32,1744376167903256
1,206,65,1744376168201925
1,207,32,1744376168564885
1,208,114,1744376169273498
1,209,101,1744376169315314
1,210,115,1744376169389925
1,211,105,1744376169494188
1,212,115,1744376169631906
1,213,116,1744376170474662
1,214,97,1744376171149626
1,215,110,1744376171164635
1,216,99,1744376171767346
1,217,101,1744376172490954
1,218,32,1744376172591023
1,219,114,1744376172970614
1,220,105,1744376173419924
1,221,115,1744376173928512
1,222,101,1744376174133807
1,223,115,1744376174361790
1,224,46,1744376174556980
1,225,32,1744376174624743
1,226,85,1744376174630898
1,227,110,1744376174823698
1,228,107,1744376175358712
1,229,110,1744376175778474
1,230,111,1744376176786942
1,231,119,1744376177451040
1,232,110,1744376177600774
1,233,32,1744376177603342
1,234,115,1744376178346520
1,235,105,1744376178758467
1,236,103,1744376178963488
1,237,110,1744376179471333
1,238,97,1744376179924553
1,239,108,1744376179938259
1,240,115,1744376180401722
1,241,32,1744376180788110
1,242,114,1744376181123927
1,243,101,1744376181126404
1,244,100,1744376181247913
1,245,105,1744376182027681
1,246,114,1744376182194891
1,247,101,1744376183039949
1,248,99,1744376183190474
1,249,116,1744376183273101
1,250,32,1744376183553339
1,251,116,1744376184003940
1,252,104,1744376184088937
1,253,101,1744376184578927
1,254,32,1744376184896199
1,255,115,1744376185975680
1,256,104,1744376187020516
1,257,105,1744376188104585
1,258,112,1744376188426436
1,259,46,1744376189070148
1,260,32,1744376189431379
1,261,226,1744376191575645
1,262,128,1744376191732934
1,263,156,1744376192088922
1,264,84,1744376192658863
1,265,104,1744376193292779
1,266,97,1744376193664010
1,267,116,1744376193737601
1,268,226,1744376194539196
1,269,128,1744376194976130
1,270,153,1744376195355211
1,271,115,1744376195770303
1,272,32,1744376195834705
1,273,110,1744376195848309
1,274,111,1744376196140531
1,275,116,1744376196430210
1,276,32,1744376196699608
1,277,117,1744376196719901
1,278,115,1744376196914320
1,279,46,1744376197155193
1,280,46,1744376197368631
1,281,46,1744376197577877
1,282,226,1744376198083801
1,283,128,1744376198754671
1,284,157,1744376198991622
1,285,10,1744376201124536
1,286,10,1744376201156037
1,287,4,1744376201519970
