run,index,ascii,time_us
1,0,73,1744376027669212
1,1,110,1744376027769750
1,2,32,1744376028090268
1,3,116,1744376028134494
1,4,104,1744376028428665
1,5,101,1744376028590442
1,6,32,1744376028789660
1,7,79,1744376028936356
1,8,117,1744376029432455
1,9,116,1744376029688944
1,10,101,1744376029876207
1,11,114,1744376029932193
1,12,32,1744376030258679
1,13,82,1744376030361460
1,14,105,1744376030385062
1,15,109,1744376030434480
1,16,44,1744376030800057
1,17,32,1744376030870659
1,18,115,1744376031019412
1,19,109,1744376031740492
1,20,117,1744376032035856
1,21,103,1744376032329941
1,22,103,1744376032774355
1,23,108,1744376032861669
1,24,101,1744376033364600
1,25,114,1744376033961258
1,26,32,1744376033979506
1,27,75,1744376034197410
1,28,101,1744376034283417
1,29,108,1744376034287604
1,30,110,1744376034300805
1,31,32,1744376035006556
1,32,68,1744376035387710
1,33,97,1744376035543063
1,34,114,1744376035828902
1,35,111,1744376036049607
1,36,32,1744376036057923
1,37,112,1744376036595287
1,38,105,1744376036850772
1,39,108,1744376037119309
1,40,111,1744376037206922
1,41,116,1744376037243573
1,42,115,1744376037667931
1,43,32,1744376037748310
1,44,116,1744376038196947
1,45,104,1744376038429241
1,46,101,1744376038607076
1,47,32,1744376038998603
1,48,83,1744376039514090
1,49,104,1744376039851546
1,50,97,1744376040335514
1,51,100,1744376040384338
1,52,111,1744376040890003
1,53,119,1744376041316025
1,54,32,1744376041432203
1,55,76,1744376041502029
1,56,97,1744376041576711
1,57,110,1744376041630884
1,58,99,1744376041695710
1,59,101,1744376041804109
1,60,32,1744376042278912
1,61,116,1744376042306040
1,62,104,1744376042592176
1,63,114,1744376043139018
1,64,111,1744376043235884
1,65,117,1744376043328040
1,66,103,1744376043381109
1,67,104,1744376043437347
1,68,32,1744376043700943
1,69,97,1744376044016602
1,70,115,1744376044290244
1,71,116,1744376044889923
1,72,101,1744376045037768
1,73,114,1744376045092909
1,74,111,1744376045357028
1,75,105,1744376046042199
1,76,100,1744376046327998
1,77,32,1744376046357157
1,78,102,1744376046373639
1,79,105,1744376046419946
1,80,101,1744376046762831
1,81,108,1744376047044854
1,82,100,1744376047079404
1,83,115,1744376047125809
1,84,46,1744376047152830
1,85,32,1744376047165938
1,86,72,1744376047181444
1,87,105,1744376047694631
1,88,100,1744376047734620
1,89,100,1744376047834251
1,90,101,1744376048177252
1,91,110,1744376048338261
1,92,32,1744376048458997
1,93,111,1744376048480185
1,94,110,1744376048763561
1,95,98,1744376049735205
1,96,111,1744376050155547
1,97,97,1744376050353947
1,98,114,1744376050629749
1,99,100,1744376051148967
1,100,32,1744376051504819
1,101,108,1744376051777587
1,102,105,1744376052599857
1,103,101,1744376052737615
1,104,115,1744376053092186
1,105,32,1744376053108387
1,106,97,1744376053165585
1,107,32,1744376053217816
1,108,107,1744376053294288
1,109,121,1744376053347105
1,110,98,1744376053547824
1,111,101,1744376053758650
1,112,114,1744376054470132
1,113,32,1744376054628263
1,114,115,1744376054653931
1,115,104,1744376054833703
1,116,97,1744376054953789
1,117,114,1744376055330551
1,118,100,1744376055331395
1,119,226,1744376055514151
1,120,128,1744376055567714
1,121,148,1744376055699946
1,122,105,1744376055772966
1,123,116,1744376055813635
1,124,115,1744376055822748
1,125,32,1744376056061054
1,126,103,1744376056264334
1,127,108,1744376056305869
1,128,111,1744376056503540
1,129,119,1744376056583336
1,130,32,1744376056629777
1,131,97,1744376056860868
1,132,119,1744376056920565
1,133,97,1744376056939277
1,134,107,1744376057359470
1,135,101,1744376057379451
1,136,110,1744376057469504
1,137,115,1744376057649987
1,138,32,1744376057718350
1,139,74,1744376057786736
1,140,117,1744376057828991
1,141,110,1744376057834908
1,142,111,1744376057916292
1,143,44,1744376058031197
1,144,32,1744376058533922
1,145,97,1744376058774358
1,146,32,1744376059006072
1,147,115,1744376059303941
1,148,116,1744376059800140
1,149,111,1744376059845870
1,150,119,1744376060004909
1,151,97,1744376060475717
1,152,119,1744376060890136
1,153,97,1744376061062068
1,154,121,1744376061126278
1,155,32,1744376061262173
1,156,116,1744376061640363
1,157,105,1744376061709383
1,158,101,1744376061942037
1,159,100,1744376061973194
1,160,32,1744376062109368
1,161,116,1744376062367930
1,162,111,1744376062418335
1,163,32,1744376062444383
1,164,74,1744376062534209
1,165,101,1744376063071868
1,166,100,1744376063267122
1,167,105,1744376063608352
1,168,32,1744376063690860
1,169,108,1744376063906242
1,170,111,1744376063966355
1,171,114,1744376063981611
1,172,101,1744376064190196
1,173,46,1744376064258511
1,174,32,1744376064278964
1,175,79,1744376064824243
1,176,110,1744376064886102
1,177,32,1744376065173191
1,178,66,1744376065208503
1,179,97,1744376065405407
1,180,115,1744376065452191
1,181,116,1744376065563511
1,182,105,1744376065664023
1,183,118,1744376065743188
1,184,97,1744376065947313
1,185,114,1744376066030284
1,186,44,1744376066059740
1,187,32,1744376066062770
1,188,116,1744376066360912
1,189,104,1744376066387028
1,190,101,1744376066643969
1,191,32,1744376066763388
1,192,69,1744376067009885
1,193,109,1744376067139222
1,194,112,1744376067159148
1,195,105,1744376067256312
1,196,114,1744376067470658
1,197,101,1744376067499598
1,198,32,1744376067511741
1,199,115,1744376067815574
1,200,116,1744376067932796
1,201,105,1744376068111122
1,202,114,1744376068262545
1,203,115,1744376068352637
1,204,46,1744376068792049
1,205,32,1744376068829665
1,206,65,1744376068979029
1,207,32,1744376069160614
1,208,114,1744376069514949
1,209,101,1744376069536806
1,210,115,1744376069574320
1,211,105,1744376069625592
1,212,115,1744376069694509
1,213,116,1744376070115912
1,214,97,1744376070453555
1,215,110,1744376070461196
1,216,99,1744376070762639
1,217,101,1744376071124563
1,218,32,1744376071174719
1,219,114,1744376071364548
1,220,105,1744376071589428
1,221,115,1744376071843985
1,222,101,1744376071946742
1,223,115,1744376072061005
1,224,46,1744376072158677
1,225,32,1744376072193327
1,226,85,1744376072196644
1,227,110,1744376072293282
1,228,107,1744376072561053
1,229,110,1744376072771058
1,230,111,1744376073275528
1,231,119,1744376073607884
1,232,110,1744376073682869
1,233,32,1744376073684246
1,234,115,1744376074055944
1,235,105,1744376074261931
1,236,103,1744376074364504
1,237,110,1744376074618694
1,238,97,1744376074845428
1,239,108,1744376074852306
1,240,115,1744376075084007
1,241,32,1744376075277201
1,242,114,1744376075445210
1,243,101,1744376075446545
1,244,100,1744376075507383
1,245,105,1744376075897543
1,246,114,1744376075981273
1,247,101,1744376076403923
1,248,99,1744376076479275
1,249,116,1744376076520699
1,250,32,1744376076661080
1,251,116,1744376076886761
1,252,104,1744376076929525
1,253,101,1744376077175073
1,254,32,1744376077333885
1,255,115,1744376077873116
1,256,104,1744376078395575
1,257,105,1744376078938249
1,258,112,1744376079099335
1,259,46,1744376079421047
1,260,32,1744376079601756
1,261,226,1744376080674218
1,262,128,1744376080752913
1,263,156,1744376080930981
1,264,84,1744376081216178
1,265,104,1744376081533291
1,266,97,1744376081718981
1,267,116,1744376081755674
1,268,226,1744376082156521
1,269,128,1744376082375069
1,270,153,1744376082564804
1,271,115,1744376082772522
1,272,32,1744376082805052
1,273,110,1744376082812334
1,274,111,1744376082958745
1,275,116,1744376083103758
1,276,32,1744376083238574
1,277,117,1744376083248922
1,278,115,1744376083347568
1,279,46,1744376083468122
1,280,46,1744376083574928
1,281,46,1744376083680195
1,282,226,1744376083933258
1,283,128,1744376084269152
1,284,157,1744376084387745
1,285,10,1744376085454386
1,286,10,1744376085470002
1,287,4,1744376085652069
