run,index,ascii,time_us
1,0,73,1744375983818137
1,1,110,1744375983843957
1,2,32,1744375983924891
1,3,116,1744375983939664
1,4,104,1744375984013271
1,5,101,1744375984053997
1,6,32,1744375984103971
1,7,79,1744375984140186
1,8,117,1744375984264443
1,9,116,1744375984328115
1,10,101,1744375984376039
1,11,114,1744375984390972
1,12,32,1744375984472707
1,13,82,1744375984498560
1,14,105,1744375984505015
1,15,109,1744375984517982
1,16,44,1744375984613653
1,17,32,1744375984631941
1,18,115,1744375984670003
1,19,109,1744375984850549
1,20,117,1744375984924632
1,21,103,1744375984998733
1,22,103,1744375985109976
1,23,108,1744375985137164
1,24,101,1744375985263434
1,25,114,1744375985412995
1,26,32,1744375985418060
1,27,75,1744375985473023
1,28,101,1744375985496173
1,29,108,1744375985498029
1,30,110,1744375985501810
1,31,32,1744375985678611
1,32,68,1744375985774102
1,33,97,1744375985814966
1,34,114,1744375985887016
1,35,111,1744375985942769
1,36,32,1744375985947209
1,37,112,1744375986082947
1,38,105,1744375986147538
1,39,108,1744375986214897
1,40,111,1744375986238027
1,41,116,1744375986247304
1,42,115,1744375986353552
1,43,32,1744375986375337
1,44,116,1744375986487679
1,45,104,1744375986546093
1,46,101,1744375986591000
1,47,32,1744375986689425
1,48,83,1744375986818539
1,49,104,1744375986903071
1,50,97,1744375987024194
1,51,100,1744375987036566
1,52,111,1744375987163155
1,53,119,1744375987269957
1,54,32,1744375987298472
1,55,76,1744375987315701
1,56,97,1744375987337250
1,57,110,1744375987350568
1,58,99,1744375987367609
1,59,101,1744375987394779
1,60,32,1744375987513783
1,61,116,1744375987520716
1,62,104,1744375987592373
1,63,114,1744375987729590
1,64,111,1744375987754932
1,65,117,1744375987778111
1,66,103,1744375987791920
1,67,104,1744375987806130
1,68,32,1744375987872218
1,69,97,1744375987951513
1,70,115,1744375988021134
1,71,116,1744375988171426
1,72,101,1744375988208477
1,73,114,1744375988222574
1,74,111,1744375988290938
1,75,105,1744375988462797
1,76,100,1744375988535649
1,77,32,1744375988543134
1,78,102,1744375988547689
1,79,105,1744375988559683
1,80,101,1744375988649629
1,81,108,1744375988720454
1,82,100,1744375988729293
1,83,115,1744375988741136
1,84,46,1744375988750032
1,85,32,1744375988754088
1,86,72,1744375988759900
1,87,105,1744375988888417
1,88,100,1744375988898602
1,89,100,1744375988923744
1,90,101,1744375989009720
1,91,110,1744375989050266
1,92,32,1744375989081937
1,93,111,1744375989087455
1,94,110,1744375989158971
1,95,98,1744375989402012
1,96,111,1744375989507202
1,97,97,1744375989557000
1,98,114,1744375989626189
1,99,100,1744375989756123
1,100,32,1744375989845232
1,101,108,1744375989913800
1,102,105,1744375990119535
1,103,101,1744375990154141
1,104,115,1744375990243182
1,105,32,1744375990247473
1,106,97,1744375990262100
1,107,32,1744375990276244
1,108,107,1744375990295457
1,109,121,1744375990308963
1,110,98,1744375990359260
1,111,101,1744375990412896
1,112,114,1744375990590945
1,113,32,1744375990630691
1,114,115,1744375990637039
1,115,104,1744375990682702
1,116,97,1744375990712890
1,117,114,1744375990807280
1,118,100,1744375990807645
1,119,226,1744375990854106
1,120,128,1744375990868283
1,121,148,1744375990901587
1,122,105,1744375990921590
1,123,116,1744375990932662
1,124,115,1744375990934930
1,125,32,1744375990994985
1,126,103,1744375991047967
1,127,108,1744375991058384
1,128,111,1744375991108806
1,129,119,1744375991129386
1,130,32,1744375991142639
1,131,97,1744375991200540
1,132,119,1744375991216769
1,133,97,1744375991222788
1,134,107,1744375991328182
1,135,101,1744375991333900
1,136,110,1744375991359131
1,137,115,1744375991404292
1,138,32,1744375991421971
1,139,74,1744375991439174
